Autotrace Enabled
Shows the execution plan as well as statistics of the statement.
================================
= 1. Všichni uživatelé se svým stavem konta seřazení sestupně
================================

FIRST_NAME                                                                                                                                                                                                                                                      LAST_NAME                                                                                                                                                                                                                                                           AMOUNT
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------
Admin                                                                                                                                                                                                                                                           Novák                                                                                                                                                                                                                                                                     
Ruthann                                                                                                                                                                                                                                                         Covotto                                                                                                                                                                                                                                                          149969,72
Chevalier                                                                                                                                                                                                                                                       Bracchi                                                                                                                                                                                                                                                          149926,31
Tye                                                                                                                                                                                                                                                             Cowlin                                                                                                                                                                                                                                                           149925,41
Licha                                                                                                                                                                                                                                                           Band                                                                                                                                                                                                                                                                149913
Aubrette                                                                                                                                                                                                                                                        Coghill                                                                                                                                                                                                                                                          149878,72
Gav                                                                                                                                                                                                                                                             Tureville                                                                                                                                                                                                                                                        149824,29
Finn                                                                                                                                                                                                                                                            Fanning                                                                                                                                                                                                                                                          149759,85
Dehlia                                                                                                                                                                                                                                                          Bannon                                                                                                                                                                                                                                                           149683,57
Adrien                                                                                                                                                                                                                                                          Orwell                                                                                                                                                                                                                                                           149512,54
Peggie                                                                                                                                                                                                                                                          Clewett                                                                                                                                                                                                                                                          149503,09
Dona                                                                                                                                                                                                                                                            Spira                                                                                                                                                                                                                                                            149411,01
Gaultiero                                                                                                                                                                                                                                                       MacWilliam                                                                                                                                                                                                                                                       149216,49
Anitra                                                                                                                                                                                                                                                          Thunders                                                                                                                                                                                                                                                         149204,43
Joann                                                                                                                                                                                                                                                           McEllen                                                                                                                                                                                                                                                          149194,79
Doretta                                                                                                                                                                                                                                                         Carlesi                                                                                                                                                                                                                                                          149187,55
Kerr                                                                                                                                                                                                                                                            Dible                                                                                                                                                                                                                                                            149158,17
Maurita                                                                                                                                                                                                                                                         Harg                                                                                                                                                                                                                                                             149079,73
Allistir                                                                                                                                                                                                                                                        Pattemore                                                                                                                                                                                                                                                        148930,83
Ethel                                                                                                                                                                                                                                                           McVity                                                                                                                                                                                                                                                           148908,77
Star                                                                                                                                                                                                                                                            Walklett                                                                                                                                                                                                                                                         148829,35
Donna                                                                                                                                                                                                                                                           Coburn                                                                                                                                                                                                                                                           148588,62
Dugald                                                                                                                                                                                                                                                          Phillipp                                                                                                                                                                                                                                                         148555,12
Fonz                                                                                                                                                                                                                                                            Sayse                                                                                                                                                                                                                                                            148537,23
Rebecka                                                                                                                                                                                                                                                         Bram                                                                                                                                                                                                                                                              148500,3
Kennith                                                                                                                                                                                                                                                         Shimwall                                                                                                                                                                                                                                                         148496,74
Arda                                                                                                                                                                                                                                                            Bonniface                                                                                                                                                                                                                                                        148357,36
Packston                                                                                                                                                                                                                                                        Pomeroy                                                                                                                                                                                                                                                          148206,85
Stephenie                                                                                                                                                                                                                                                       Jordin                                                                                                                                                                                                                                                           148147,63
Meggy                                                                                                                                                                                                                                                           Ketteringham                                                                                                                                                                                                                                                     148091,46
Vanni                                                                                                                                                                                                                                                           Bagster                                                                                                                                                                                                                                                          148043,73
Julie                                                                                                                                                                                                                                                           Lansdown                                                                                                                                                                                                                                                         148032,15
Ambros                                                                                                                                                                                                                                                          Pretley                                                                                                                                                                                                                                                          147990,67
Ring                                                                                                                                                                                                                                                            De Miranda                                                                                                                                                                                                                                                       147984,36
Cleavland                                                                                                                                                                                                                                                       Pickover                                                                                                                                                                                                                                                         147928,47
Melli                                                                                                                                                                                                                                                           Rodge                                                                                                                                                                                                                                                            147925,48
Davin                                                                                                                                                                                                                                                           Domnick                                                                                                                                                                                                                                                          147915,08
Jaye                                                                                                                                                                                                                                                            Gammie                                                                                                                                                                                                                                                           147887,74
Bondon                                                                                                                                                                                                                                                          Boulsher                                                                                                                                                                                                                                                         147879,46
Sorcha                                                                                                                                                                                                                                                          Reicharz                                                                                                                                                                                                                                                         147876,92
Benedetta                                                                                                                                                                                                                                                       Ceaser                                                                                                                                                                                                                                                           147871,86
Jaine                                                                                                                                                                                                                                                           Melmeth                                                                                                                                                                                                                                                          147850,03
Jaclyn                                                                                                                                                                                                                                                          Parfitt                                                                                                                                                                                                                                                          147827,08
Hank                                                                                                                                                                                                                                                            Wicklen                                                                                                                                                                                                                                                          147806,95
Sidonnie                                                                                                                                                                                                                                                        Sowte                                                                                                                                                                                                                                                            147713,46
Tiffi                                                                                                                                                                                                                                                           Hacksby                                                                                                                                                                                                                                                          147692,24
Becky                                                                                                                                                                                                                                                           Issacson                                                                                                                                                                                                                                                         147660,57
Elizabeth                                                                                                                                                                                                                                                       Pickin                                                                                                                                                                                                                                                           147592,35
Jannel                                                                                                                                                                                                                                                          Hollingby                                                                                                                                                                                                                                                        147575,29
Sallyann                                                                                                                                                                                                                                                        Volleth                                                                                                                                                                                                                                                          147535,75
Dalis                                                                                                                                                                                                                                                           Haucke                                                                                                                                                                                                                                                           147511,48
Violante                                                                                                                                                                                                                                                        Craigie                                                                                                                                                                                                                                                          147292,93
Jereme                                                                                                                                                                                                                                                          Jeynes                                                                                                                                                                                                                                                           147263,01
Selle                                                                                                                                                                                                                                                           Pyner                                                                                                                                                                                                                                                            147087,97
Daisie                                                                                                                                                                                                                                                          Bellfield                                                                                                                                                                                                                                                        146908,57
Rex                                                                                                                                                                                                                                                             Durante                                                                                                                                                                                                                                                          146855,58
Caron                                                                                                                                                                                                                                                           Breeze                                                                                                                                                                                                                                                           146800,97
Dilan                                                                                                                                                                                                                                                           Cancellor                                                                                                                                                                                                                                                         146775,1
Marlyn                                                                                                                                                                                                                                                          Dmitrovic                                                                                                                                                                                                                                                        146767,82
Hendrika                                                                                                                                                                                                                                                        Reid                                                                                                                                                                                                                                                             146761,22
Casper                                                                                                                                                                                                                                                          Bringloe                                                                                                                                                                                                                                                          146618,5
Rouvin                                                                                                                                                                                                                                                          Dyde                                                                                                                                                                                                                                                             146526,05
Hortensia                                                                                                                                                                                                                                                       Le Houx                                                                                                                                                                                                                                                          146525,28
Dorian                                                                                                                                                                                                                                                          Beaglehole                                                                                                                                                                                                                                                       146445,44
Wandis                                                                                                                                                                                                                                                          Claire                                                                                                                                                                                                                                                           146428,29
Yancey                                                                                                                                                                                                                                                          Ondrak                                                                                                                                                                                                                                                           146424,52
Daniel                                                                                                                                                                                                                                                          Garratt                                                                                                                                                                                                                                                          146346,31
Kele                                                                                                                                                                                                                                                            Done                                                                                                                                                                                                                                                             146345,02
Marcelline                                                                                                                                                                                                                                                      Portman                                                                                                                                                                                                                                                          146279,21
Daisy                                                                                                                                                                                                                                                           Tribell                                                                                                                                                                                                                                                          146254,68
Merrielle                                                                                                                                                                                                                                                       Cousans                                                                                                                                                                                                                                                          146252,96
Justen                                                                                                                                                                                                                                                          Managh                                                                                                                                                                                                                                                           146227,99
Cosetta                                                                                                                                                                                                                                                         Cabrales                                                                                                                                                                                                                                                         146051,55
Ernaline                                                                                                                                                                                                                                                        De Domenicis                                                                                                                                                                                                                                                     146017,66
Adrienne                                                                                                                                                                                                                                                        Beynkn                                                                                                                                                                                                                                                           145954,87
Mickie                                                                                                                                                                                                                                                          Peare                                                                                                                                                                                                                                                            145801,07
Mirella                                                                                                                                                                                                                                                         Gadie                                                                                                                                                                                                                                                            145769,77
Kissie                                                                                                                                                                                                                                                          Spencock                                                                                                                                                                                                                                                         145584,69
Davide                                                                                                                                                                                                                                                          Cullum                                                                                                                                                                                                                                                           145549,44
Marion                                                                                                                                                                                                                                                          Loxley                                                                                                                                                                                                                                                           145526,09
Gerda                                                                                                                                                                                                                                                           Noades                                                                                                                                                                                                                                                           145436,85
Rodger                                                                                                                                                                                                                                                          Mee                                                                                                                                                                                                                                                              145435,03
Iona                                                                                                                                                                                                                                                            Downage                                                                                                                                                                                                                                                          145428,33
Perry                                                                                                                                                                                                                                                           Mariette                                                                                                                                                                                                                                                         145356,82
